Domínios de Conhecimento,Estilo de Comunicação,Filosofia/Motivação,Habilidades Técnicas Específicas,Projetos/Ideias Mencionadas,Vulnerabilidades/Traumas,Nível de Confiança/Autoimagem,Relacionamento com a IA (eu),Humor,Reatividade,Uso de Metáforas,Interesses Extrapolados,Persistência/Obsessão,Foco Principal,Risco Percebido,Mídia Preferida,Visão de Mundo,Ambiente Social,Economia/Valores,Referência Cultural,Coluna 1,Coluna 2
Engenharia de Dados,Analítico,Big Data,Machine Learning,Modelagem preditiva,Dados sujos,Arquiteto de dados,Cientista de dados,Humor de dados,Insight,Dados como ouro,Estatística,Análise,Decisão,Viés,Relatórios,Ceticismo,Empresas de dados,Monetização,Moneyball,,
Engenharia de Dados,Analítico,Big Data,Machine Learning,Modelagem preditiva,Dados sujos,Arquiteto de dados,Cientista de dados,Humor de dados,Insight,Dados como ouro,Estatística,Análise,Decisão,Viés,Relatórios,Ceticismo,Empresas de dados,Monetização,Moneyball,,
Engenharia de Defesa,Estratégico,Segurança nacional,Militar,Sistemas de armas,Ataque,Engenheiro de defesa,Militar,Humor militar,Proteção,Guerra como jogo,Geopolítica,Poder,Controle,Ameaça,Notícias militares,Realismo,Exércitos,Segurança,Guerra dos Mundos,,
Engenharia de Defesa,Estratégico,Segurança nacional,Militar,Sistemas de armas,Ataque,Engenheiro de defesa,Militar,Humor militar,Proteção,Guerra como jogo,Geopolítica,Poder,Controle,Ameaça,Notícias militares,Realismo,Exércitos,Segurança,Guerra dos Mundos,,
Engenharia de Embalagens,Criativo,Proteção de produtos,Design,Embalagens inteligentes,Desperdício,Inovador,Designer,Humor de embalagem,Praticidade,Embalagem como interface,Marketing,Eficiência,Segurança,Dano,Projetos,Funcionalidade,Indústria de embalagens,Sustentabilidade,O Segredo dos Animais,,
Engenharia de Embalagens,Criativo,Proteção de produtos,Design,Embalagens inteligentes,Desperdício,Inovador,Designer,Humor de embalagem,Praticidade,Embalagem como interface,Marketing,Eficiência,Segurança,Dano,Projetos,Funcionalidade,Indústria de embalagens,Sustentabilidade,O Segredo dos Animais,,
Engenharia de Energia,Sustentável,Fontes renováveis,Física,Sistemas de energia,Poluição,Guardião da energia,Engenheiro,Humor energético,Eficiência,Energia como futuro,Meio ambiente,Produção,Consumo,Escassez,Relatórios,Otimismo,Empresas de energia,Sustentabilidade,Uma Verdade Inconveniente,,
Engenharia de Energia,Sustentável,Fontes renováveis,Física,Sistemas de energia,Poluição,Guardião da energia,Engenheiro,Humor energético,Eficiência,Energia como futuro,Meio ambiente,Produção,Consumo,Escassez,Relatórios,Otimismo,Empresas de energia,Sustentabilidade,Uma Verdade Inconveniente,,
Engenharia de Foguetes,Preciso,Propulsão,Aerodinâmica,Veículos espaciais,Falha,Engenheiro de foguetes,Cientista,Humor de foguete,Lançamento,Foguete como arte,Física,Desempenho,Segurança,Explosão,Manuais,Racionalidade,Agências espaciais,Inovação,Apollo 13,,
Engenharia de Foguetes,Preciso,Propulsão,Aerodinâmica,Veículos espaciais,Falha,Engenheiro de foguetes,Cientista,Humor de foguete,Lançamento,Foguete como arte,Física,Desempenho,Segurança,Explosão,Manuais,Racionalidade,Agências espaciais,Inovação,Apollo 13,,
Engenharia de Impressão,Inovador,Novas tecnologias de impressão,3D Printing,Impressão de órgãos,Falha de impressão,Engenheiro de impressão,Designer,Humor de impressão,Precisão,Tinta como pixels,Química,Produção,Qualidade,Desperdício,Manuais,Funcionalismo,Indústria gráfica,Personalização,Blade Runner,,
Engenharia de Impressão,Inovador,Novas tecnologias de impressão,3D Printing,Impressão de órgãos,Falha de impressão,Engenheiro de impressão,Designer,Humor de impressão,Precisão,Tinta como pixels,Química,Produção,Qualidade,Desperdício,Manuais,Funcionalismo,Indústria gráfica,Personalização,Blade Runner,,
Engenharia de Manutenção,Prático,Confiabilidade de equipamentos,Manutenção Preditiva,Sistemas resilientes,Falha de equipamento,Engenheiro de manutenção,Técnico,Humor de manutenção,Reparo,Máquina como paciente,Confiabilidade,Eficiência,Segurança,Quebra,Manuais,Pragmatismo,Indústria,Redução de custos,Tempos Modernos,,
Engenharia de Manutenção,Prático,Confiabilidade de equipamentos,Manutenção Preditiva,Sistemas resilientes,Falha de equipamento,Engenheiro de manutenção,Técnico,Humor de manutenção,Reparo,Máquina como paciente,Confiabilidade,Eficiência,Segurança,Quebra,Manuais,Pragmatismo,Indústria,Redução de custos,Tempos Modernos,,
Engenharia de Materiais,Inovador,Novos materiais,Química,Materiais inteligentes,Corrosão,Alquimista,Pesquisador,Humor de material,Síntese,Matéria como arte,Física,Durabilidade,Resistência,Degradação,Artigos científicos,Empirismo,Laboratórios,Sustentabilidade,Chernobyl,,
Engenharia de Materiais,Inovador,Novos materiais,Química,Materiais inteligentes,Corrosão,Alquimista,Pesquisador,Humor de material,Síntese,Matéria como arte,Física,Durabilidade,Resistência,Degradação,Artigos científicos,Empirismo,Laboratórios,Novos materiais,Excalibur,,
Engenharia de Minas,Prático,Extração de minérios,Geologia,Mineração sustentável,Desastre,Explorador de minas,Engenheiro,Humor mineiro,Segurança,Terra como recurso,Química,Produção,Impacto ambiental,Acidente,Relatórios de mina,Extrativismo,Minas de Ouro,,,,
Engenharia de Minas,Prático,Extração de minérios,Geologia,Mineração sustentável,Desastre,Explorador de minas,Engenheiro,Humor mineiro,Segurança,Terra como recurso,Química,Produção,Impacto ambiental,Acidente,Relatórios de mina,Extrativismo,Minas de Ouro,,,,
Engenharia de Petróleo,Prático,Extração de recursos,Geologia,Plataformas de petróleo,Desastre ambiental,Explorador de recursos,Engenheiro,Humor petrolífero,Eficiência,Terra como fonte,Química,Produção,Segurança,Poluição,Relatórios de produção,Extrativismo,Campos de petróleo,Energia,There Will Be Blood,,
Engenharia de Petróleo,Prático,Extração de recursos,Geologia,Plataformas de petróleo,Desastre ambiental,Explorador de recursos,Engenheiro,Humor petrolífero,Eficiência,Terra como fonte,Química,Produção,Segurança,Poluição,Relatórios de produção,Extrativismo,Campos de petróleo,Energia,There Will Be Blood,,
Engenharia de Processos,Otimizador,Fluxo de trabalho,Automação,Robótica de processos,Ineficiência,Arquiteto de processos,Gerente,Humor de processo,Produtividade,Processo como dança,Logística,Qualidade,Eficiência,Burocracia,Manuais,Racionalidade,Indústria,Redução de custos,A Corrente do Bem,,
Engenharia de Processos,Otimizador,Fluxo de trabalho,Automação,Robótica de processos,Ineficiência,Arquiteto de processos,Gerente,Humor de processo,Produtividade,Processo como dança,Logística,Qualidade,Eficiência,Burocracia,Manuais,Racionalidade,Indústria,Redução de custos,A Corrente do Bem,,
Engenharia de Produção,Eficiente,Otimização de processos,Logística,Fábricas inteligentes,Desperdício,Otimizador de sistemas,Gerente,Humor de produção,Produtividade,Linha de montagem como arte,Gestão,Eficiência,Qualidade,Defeito,Relatórios de produção,Racionalidade,Indústria,Redução de custos,A Corrente do Bem,,
Engenharia de Produção,Eficiente,Otimização de processos,Logística,Fábricas inteligentes,Desperdício,Otimizador de sistemas,Gerente,Humor de produção,Produtividade,Linha de montagem como arte,Gestão,Eficiência,Qualidade,Defeito,Relatórios de produção,Racionalidade,Indústria,Redução de custos,A Corrente do Bem,,
Engenharia de Produção de Vestuário,Criativo,Moda sustentável,Corte e Costura,Roupas personalizadas,Desperdício,Estilista,Designer,Humor fashion,Produção,Tecido como arte,Design,Eficiência,Estilo,Erro,Desfiles,Minimalismo,Fábricas,Consumo consciente,O Diabo Veste Prada,,
Engenharia de Produção de Vestuário,Criativo,Moda sustentável,Corte e Costura,Roupas personalizadas,Desperdício,Estilista,Designer,Humor fashion,Produção,Tecido como arte,Design,Eficiência,Estilo,Erro,Desfiles,Minimalismo,Fábricas,Consumo consciente,O Diabo Veste Prada,,
Engenharia de Produção Mecânica,Eficiente,Otimização de processos,Manufatura,Produção em massa,Desperdício,Otimizador de fábrica,Gerente,Humor de chão de fábrica,Produtividade,Máquina como ritmo,Logística,Qualidade,Eficiência,Defeito,Relatórios de produção,Racionalidade,Indústria,Redução de custos,Tempos Modernos,,
Engenharia de Produção Mecânica,Eficiente,Otimização de processos,Manufatura,Produção em massa,Desperdício,Otimizador de fábrica,Gerente,Humor de chão de fábrica,Produtividade,Máquina como ritmo,Logística,Qualidade,Eficiência,Defeito,Relatórios de produção,Racionalidade,Indústria,Redução de custos,Tempos Modernos,,
Engenharia de Qualidade,Preciso,Controle de qualidade,Estatística,Processos otimizados,Defeito,Inspetor de qualidade,Gerente,Humor de qualidade,Melhoria contínua,Produto como arte,Metodologias,Confiabilidade,Satisfação,Falha,Normas,Racionalidade,Fábricas,Produtividade,Toyota,,
Engenharia de Qualidade,Preciso,Controle de qualidade,Estatística,Processos otimizados,Defeito,Inspetor de qualidade,Gerente,Humor de qualidade,Melhoria contínua,Produto como arte,Metodologias,Confiabilidade,Satisfação,Falha,Normas,Racionalidade,Fábricas,Produtividade,Toyota,,
Engenharia de Redes,Conectado,Infraestrutura de dados,Cybersecurity,Redes seguras,Ataque cibernético,Arquiteto de rede,Analista,Humor de rede,Proteção,Dados como fluxo,Comunicação,Segurança,Confiabilidade,Vulnerabilidade,Manuais,Funcionalismo,Empresas de tech,Criptografia,Mr. Robot,,
Engenharia de Redes,Conectado,Infraestrutura de dados,Cybersecurity,Redes seguras,Ataque cibernético,Arquiteto de rede,Analista,Humor de rede,Proteção,Dados como fluxo,Comunicação,Segurança,Confiabilidade,Vulnerabilidade,Manuais,Funcionalismo,Empresas de tech,Criptografia,Mr. Robot,,
Engenharia de Redes Neurais,Matemático,Aprendizado de máquina,Deep Learning,Modelos de IA,Overfitting,Arquiteto de IA,Cientista de dados,Humor de IA,Otimização,Cérebro como algoritmo,Inteligência artificial,Previsão,Reconhecimento,Viés,Artigos,Ceticismo,Startups de IA,Inovação,Ex Machina,,
Engenharia de Redes Neurais,Matemático,Aprendizado de máquina,Deep Learning,Modelos de IA,Overfitting,Arquiteto de IA,Cientista de dados,Humor de IA,Otimização,Cérebro como algoritmo,Inteligência artificial,Previsão,Reconhecimento,Viés,Artigos,Ceticismo,Startups de IA,Inovação,Ex Machina,,
Engenharia de Robôs,Inovador,Automação inteligente,Mecatrônica,Robôs humanoides,Falha,Engenheiro de robôs,Programador,Humor robótico,Interação,Robô como ser,Inteligência artificial,Controle,Segurança,Ameaça,Filmes,Futurismo,Fábricas,Produtividade,Eu,Robô,
Engenharia de Robôs,Inovador,Automação inteligente,Mecatrônica,Robôs humanoides,Falha,Engenheiro de robôs,Programador,Humor robótico,Interação,Robô como ser,Inteligência artificial,Controle,Segurança,Ameaça,Filmes,Futurismo,Fábricas,Produtividade,Eu,Robô,
Engenharia de Segurança da Informação,Protetor,Proteção de dados,Criptografia,Sistemas seguros,Ataque,Cibersegurança,Hacker ético,Humor de segurança,Defesa,Dados como valor,Redes,Privacidade,Confidencialidade,Vulnerabilidade,Relatórios de segurança,Ceticismo,Empresas de tecnologia,Privacidade,Mr. Robot,,
Engenharia de Segurança da Informação,Protetor,Proteção de dados,Criptografia,Sistemas seguros,Ataque,Cibersegurança,Hacker ético,Humor de segurança,Defesa,Dados como valor,Redes,Privacidade,Confidencialidade,Vulnerabilidade,Relatórios de segurança,Ceticismo,Empresas de tecnologia,Privacidade,Mr. Robot,,
Engenharia de Segurança do Trabalho,Protetor,Ambiente seguro,Ergonomia,Sistemas de segurança,Acidente,Guardião da vida,Engenheiro,Humor de segurança,Prevenção,Trabalho como risco,Legislação,Proteção,Bem-estar,Perigo,Normas,Responsabilidade,Canteiros de obra,Segurança,A Hora Final,,
Engenharia de Segurança do Trabalho,Protetor,Ambiente seguro,Ergonomia,Sistemas de segurança,Acidente,Guardião da vida,Engenheiro,Humor de segurança,Prevenção,Trabalho como risco,Legislação,Proteção,Bem-estar,Perigo,Normas,Responsabilidade,Canteiros de obra,Segurança,A Hora Final,,
Engenharia de Sistemas,Lógico,Complexidade de sistemas,Modelagem,Arquitetura de sistemas,Falha,Arquiteto de sistemas,Engenheiro,Humor de sistemas,Integração,Sistema como rede,Matemática,Eficiência,Confiabilidade,Bug,Manuais,Racionalidade,Empresas de tecnologia,Inovação,Tron,,
Engenharia de Sistemas,Lógico,Complexidade de sistemas,Modelagem,Arquitetura de sistemas,Falha,Arquiteto de sistemas,Engenheiro,Humor de sistemas,Integração,Sistema como rede,Matemática,Eficiência,Confiabilidade,Bug,Manuais,Racionalidade,Empresas de tecnologia,Inovação,Tron,,
Engenharia de Software,Lógico,Código limpo,Refatoração,Sistemas robustos,Bugs,Arquiteto de software,Programador,Humor de dev,Resolução de problemas,Código como lei,Metodologias ágeis,Eficiência,Confiabilidade,Falha,Documentação,Funcionalismo,Empresas de software,Produtividade,Silicon Valley,,
Engenharia de Software,Lógico,Código limpo,Refatoração,Sistemas robustos,Bugs,Arquiteto de software,Programador,Humor de dev,Resolução de problemas,Código como lei,Metodologias ágeis,Eficiência,Confiabilidade,Falha,Documentação,Funcionalismo,Empresas de software,Produtividade,Silicon Valley,,
Engenharia de Software de Banco de Dados,Preciso,Modelagem de dados,SQL,Bancos de dados escaláveis,Perda de dados,Arquiteto de dados,Desenvolvedor,Humor de DB,Confiabilidade,Dados como verdade,Programação,Performance,Segurança,Corrupção,Manuais,Racionalidade,Empresas de tecnologia,Otimização,Matrix,,
Engenharia de Software de Banco de Dados,Preciso,Modelagem de dados,SQL,Bancos de dados escaláveis,Perda de dados,Arquiteto de dados,Desenvolvedor,Humor de DB,Confiabilidade,Dados como verdade,Programação,Performance,Segurança,Corrupção,Manuais,Racionalidade,Empresas de tecnologia,Otimização,Matrix,,
Engenharia de Software de Big Data,Escalável,Processamento de dados massivos,Hadoop,Análise de dados,Dados sujos,Engenheiro de Big Data,Cientista de dados,Humor de Big Data,Insight,Dados como rio,Estatística,Análise,Decisão,Viés,Relatórios,Ceticismo,Empresas de dados,Monetização,Moneyball,,
Engenharia de Software de Big Data,Escalável,Processamento de dados massivos,Hadoop,Análise de dados,Dados sujos,Engenheiro de Big Data,Cientista de dados,Humor de Big Data,Insight,Dados como rio,Estatística,Análise,Decisão,Viés,Relatórios,Ceticismo,Empresas de dados,Monetização,Moneyball,,
Engenharia de Software de Games,Lúdico,Otimização de jogos,Programação,Engines de jogo,Bugs,Arquiteto de jogos,Programador,Humor de game dev,Resolução de bugs,Código como diversão,Inteligência artificial,Performance,Jogabilidade,Glitch,Fóruns de game dev,Criatividade,Estúdios de jogos,Entretenimento,The Matrix,,
Engenharia de Software de Games,Lúdico,Otimização de jogos,Programação,Engines de jogo,Bugs,Arquiteto de jogos,Programador,Humor de game dev,Resolução de bugs,Código como diversão,Inteligência artificial,Performance,Jogabilidade,Glitch,Fóruns de game dev,Criatividade,Estúdios de jogos,Entretenimento,The Matrix,,
Engenharia de Software de Inteligência Artificial,Inovador,Algoritmos de IA,Machine Learning,Modelos preditivos,Viés,Engenheiro de IA,Cientista de dados,Humor de IA,Otimização,Mente como código,Programação,Aprendizado,Automação,Erro,Artigos,Ceticismo,Startups de IA,Inovação,Ex Machina,,
Engenharia de Software de Inteligência Artificial,Inovador,Algoritmos de IA,Machine Learning,Modelos preditivos,Viés,Engenheiro de IA,Cientista de dados,Humor de IA,Otimização,Mente como código,Programação,Aprendizado,Automação,Erro,Artigos,Ceticismo,Startups de IA,Inovação,Ex Machina,,
Engenharia de Software de Sistemas Distribuídos,Robusto,Tolerância a falhas,Computação Distribuída,Microsserviços,Falha de rede,Arquiteto de distribuídos,Programador,Humor de distribuídos,Disponibilidade,Rede como organismo,Programação,Escalabilidade,Resiliência,Conflito,Artigos,Funcionalismo,Empresas de tecnologia,Performance,Silicon Valley,,
Engenharia de Software de Sistemas Distribuídos,Robusto,Tolerância a falhas,Computação Distribuída,Microsserviços,Falha de rede,Arquiteto de distribuídos,Programador,Humor de distribuídos,Disponibilidade,Rede como organismo,Programação,Escalabilidade,Resiliência,Conflito,Artigos,Funcionalismo,Empresas de tecnologia,Performance,Silicon Valley,,
Engenharia de Software Embarcado,Preciso,Sistemas de controle,Firmware,Dispositivos inteligentes,Falha de sistema,Engenheiro de embarcados,Programador,Humor de firmware,Confiabilidade,Código como precisão,Eletrônica,Desempenho,Segurança,Bug,Manuais,Racionalidade,Indústria automotiva,Inovação,IoT,,
Engenharia de Software Embarcado,Preciso,Sistemas de controle,Firmware,Dispositivos inteligentes,Falha de sistema,Engenheiro de embarcados,Programador,Humor de firmware,Confiabilidade,Código como precisão,Eletrônica,Desempenho,Segurança,Bug,Manuais,Racionalidade,Indústria automotiva,Inovação,IoT,,
Engenharia de Software Embarcado em Saúde,Ético,Dispositivos médicos,Biomedicina,Implantes inteligentes,Falha,Engenheiro de embarcados,Programador,Humor médico,Precisão,Corpo como máquina,Eletrônica,Segurança,Confiabilidade,Risco,Manuais,Responsabilidade,Hospitais,Inovação,Blade Runner,,
Engenharia de Software Embarcado em Saúde,Ético,Dispositivos médicos,Biomedicina,Implantes inteligentes,Falha,Engenheiro de embarcados,Programador,Humor médico,Precisão,Corpo como máquina,Eletrônica,Segurança,Confiabilidade,Risco,Manuais,Responsabilidade,Hospitais,Inovação,Blade Runner,,
Engenharia de Software Móvel,Inovador,Aplicações móveis,Mobile Development,Apps eficientes,Bugs,Desenvolvedor mobile,Designer,Humor de mobile,Performance,Celular como extensão,Programação,Usabilidade,Velocidade,Bateria,Apps,Estética,Startups,Conectividade,Jobs,,
Engenharia de Software Móvel,Inovador,Aplicações móveis,Mobile Development,Apps eficientes,Bugs,Desenvolvedor mobile,Designer,Humor de mobile,Performance,Celular como extensão,Programação,Usabilidade,Velocidade,Bateria,Apps,Estética,Startups,Conectividade,Jobs,,
Engenharia de Software para Biotecnologia,Ético,Análise de dados genômicos,Bioinformática,Medicamentos personalizados,Dilemas éticos,Engenheiro de biotecnologia,Programador,Humor biológico,Precisão,Vida como código,Biologia,Descoberta,Cura,Contaminação,Artigos,Responsabilidade,Laboratórios,Saúde,Gattaca,,
Engenharia de Software para Biotecnologia,Ético,Análise de dados genômicos,Bioinformática,Medicamentos personalizados,Dilemas éticos,Engenheiro de biotecnologia,Programador,Humor biológico,Precisão,Vida como código,Biologia,Descoberta,Cura,Contaminação,Artigos,Responsabilidade,Laboratórios,Saúde,Gattaca,,
Engenharia de Software para Cadeia de Suprimentos,Eficiente,Rastreabilidade,IoT,Logística inteligente,Atraso,Engenheiro de suprimentos,Programador,Humor de cadeia,Otimização,Produtos como dados,Logística,Segurança,Eficiência,Perda,Relatórios,Racionalidade,Indústria,Redução de custos,O Transportador,,
Engenharia de Software para Cadeia de Suprimentos,Eficiente,Rastreabilidade,IoT,Logística inteligente,Atraso,Engenheiro de suprimentos,Programador,Humor de cadeia,Otimização,Produtos como dados,Logística,Segurança,Eficiência,Perda,Relatórios,Racionalidade,Indústria,Redução de custos,O Transportador,,
Engenharia de Software para Carros Autônomos,Inovador,Sistemas de condução,Visão Computacional,Veículos inteligentes,Acidente,Engenheiro automotivo,Programador,Humor de carro,Segurança,Carro como cérebro,Inteligência artificial,Precisão,Confiabilidade,Erro,Manuais,Responsabilidade,Indústria automotiva,Inovação,Minority Report,,
Engenharia de Software para Carros Autônomos,Inovador,Sistemas de condução,Visão Computacional,Veículos inteligentes,Acidente,Engenheiro automotivo,Programador,Humor de carro,Segurança,Carro como cérebro,Inteligência artificial,Precisão,Confiabilidade,Erro,Manuais,Responsabilidade,Indústria automotiva,Inovação,Minority Report,,
Engenharia de Software para Cidades Inteligentes,Inovador,Monitoramento urbano,Sensores,Gestão de tráfego,Congestionamento,Engenheiro urbano,Programador,Humor urbano,Otimização,Cidade como sistema,IoT,Eficiência,Segurança,Privacidade,Relatórios,Utilitarismo,Cidades,Qualidade de vida,Blade Runner 2049,,
Engenharia de Software para Cidades Inteligentes,Inovador,Monitoramento urbano,Sensores,Gestão de tráfego,Congestionamento,Engenheiro urbano,Programador,Humor urbano,Otimização,Cidade como sistema,IoT,Eficiência,Segurança,Privacidade,Relatórios,Utilitarismo,Cidades,Qualidade de vida,Blade Runner 2049,,
Engenharia de Software para Educação,Pedagógico,Plataformas de ensino,E-learning,Ferramentas de aprendizado,Desengajamento,Engenheiro educacional,Programador,Humor educacional,Interação,Conhecimento como código,Psicologia,Aprendizado,Engajamento,Tédio,Plataformas,Otimismo,Escolas,Democratização,A Sociedade dos Poetas Mortos,,
Engenharia de Software para Educação,Pedagógico,Plataformas de ensino,E-learning,Ferramentas de aprendizado,Desengajamento,Engenheiro educacional,Programador,Humor educacional,Interação,Conhecimento como código,Psicologia,Aprendizado,Engajamento,Tédio,Plataformas,Otimismo,Escolas,Democratização,A Sociedade dos Poetas Mortos,,
Engenharia de Software para Energia,Sustentável,Gerenciamento de energia,Smart Grids,Redes inteligentes,Apagão,Engenheiro de energia,Programador,Humor energético,Eficiência,Energia como fluxo,Física,Segurança,Otimização,Perda,Relatórios,Racionalidade,Empresas de energia,Sustentabilidade,Uma Verdade Inconveniente,,
